City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,tateyama,34.9833,139.8667,13.96,94,75,3.6,JP,1676227478
160,surt,31.2089,16.5887,13.81,63,100,5.66,LY,1676227479
161,kibre mengist,5.8833,38.9833,14.65,26,0,1.14,ET,1676227479
162,ouadda,8.0777,22.4007,26.31,21,64,2.49,CF,1676227479
163,richards bay,-28.783,32.0377,25.87,84,100,5.82,ZA,1676227480
164,kenora,49.8167,-94.4337,0.54,74,75,5.14,CA,1676227480
165,dalbandin,28.8947,64.4101,11.98,23,7,1.82,PK,1676227480
166,castro,-24.7911,-50.0119,23.14,82,42,0.43,BR,1676227481
167,grenada,37.1882,-3.6067,11.2,40,20,2.57,ES,1676227353
168,tuatapere,-46.1333,167.6833,12.51,90,46,1.02,NZ,1676227481
169,sile,41.1754,29.6133,3.37,89,88,0.99,TR,1676227481
170,shenzhen,22.5455,114.0683,22.93,93,50,2.27,CN,1676227395
171,ancud,-41.8697,-73.8203,15.49,57,100,3.84,CL,1676227482
172,montrose,38.4166,-108.2673,2.47,57,100,0.5,US,1676227482
173,cherskiy,68.75,161.3,-41.88,100,88,0.9,RU,1676227483
174,talakan,50.3167,130.3667,-27.13,100,99,0.47,RU,1676227483
175,vestmannaeyjar,63.4427,-20.2734,8.55,93,100,14.4,IS,1676227484
176,san andres,12.5847,-81.7006,30.01,66,20,8.23,CO,1676227484
177,huntsville,34.7304,-86.5861,12.37,64,40,5.14,US,1676227313
178,hobyo,5.3505,48.5268,24.62,75,0,8.01,SO,1676227484
179,esmeraldas,-19.7625,-44.3139,29.58,65,100,0.92,BR,1676227545
180,vardo,70.3705,31.1107,-2.01,93,20,9.77,NO,1676227545
181,lincoln,40.8,-96.667,10.72,42,0,2.57,US,1676227421
182,nieuw amsterdam,5.8833,-55.0833,27.79,79,40,4.12,SR,1676227546
183,saint-philippe,-21.3585,55.7679,25.77,83,100,4.72,RE,1676227546
184,bandarbeyla,9.4942,50.8122,24.17,67,0,6.39,SO,1676227547
185,basco,20.4487,121.9702,25.03,78,9,8.24,PH,1676227547
186,berlevag,70.8578,29.0864,1.0,86,100,11.83,NO,1676227547
187,hilo,19.7297,-155.09,18.95,97,75,4.02,US,1676227395
188,mecca,21.4267,39.8261,22.17,68,0,3.48,SA,1676227502
189,sao felix do xingu,-6.6447,-51.995,30.0,69,32,1.58,BR,1676227548
190,tabou,4.423,-7.3528,27.17,82,7,2.74,CI,1676227548
191,kogon,39.7228,64.5517,2.02,60,0,3.09,UZ,1676227549
192,chuy,-33.6971,-53.4616,33.37,34,0,6.23,UY,1676227549
193,lugovoy,42.9472,72.7644,-10.37,78,17,2.45,KZ,1676227549
194,ambulu,-8.345,113.6058,23.82,94,100,4.36,ID,1676227550
195,bethel,41.3712,-73.414,9.17,39,0,0.45,US,1676227550
196,airai,-8.9266,125.4092,15.2,95,100,1.43,TL,1676227550
197,east london,-33.0153,27.9116,21.52,94,100,3.6,ZA,1676227551
198,kavaratti,10.5669,72.642,26.7,71,0,3.3,IN,1676227551
199,saint-ambroise,48.5501,-71.3324,-0.79,64,97,6.69,CA,1676227551
200,alofi,-19.0595,-169.9187,24.94,100,100,1.54,NU,1676227552
201,qaqortoq,60.7167,-46.0333,-12.54,72,100,2.12,GL,1676227552
202,cockburn town,21.4612,-71.1419,26.98,61,40,8.23,TC,1676227553
203,husavik,66.0449,-17.3389,1.0,77,100,4.79,IS,1676227553
204,taos,36.4072,-105.5731,10.67,42,0,1.54,US,1676227499
205,lashio,22.9333,97.75,11.0,56,0,0.85,MM,1676227553
206,bollnas,61.3482,16.3946,-1.88,93,100,1.78,SE,1676227554
207,waimana,-38.15,177.0833,18.36,92,100,7.23,NZ,1676227554
208,aklavik,68.2191,-135.0107,-32.0,68,75,0.0,CA,1676227554
209,araouane,18.9048,-3.5265,29.07,10,57,4.17,ML,1676227555
210,upington,-28.4478,21.2561,31.21,22,20,1.54,ZA,1676227555
211,howard springs,-12.497,131.047,23.95,99,100,1.4,AU,1676227555
212,puerto carreno,6.189,-67.4859,30.99,51,0,4.12,CO,1676227556
213,kuala terengganu,5.3302,103.1408,24.97,94,20,0.0,MY,1676227556
214,goba,7.0167,39.9833,10.14,32,0,1.89,ET,1676227556
215,marystown,47.1666,-55.1483,-2.26,84,100,9.43,CA,1676227389
216,sarahan,31.5167,77.8,-3.74,43,0,5.52,IN,1676227557
217,leningradskiy,69.3833,178.4167,-26.52,94,100,5.25,RU,1676227557
218,songkhla,6.8333,100.6667,23.03,93,63,0.76,TH,1676227558
219,emba,48.8264,58.1442,-12.28,94,100,2.86,KZ,1676227558
220,ponta do sol,32.6667,-17.1,18.35,80,58,2.47,PT,1676227558
221,coihaique,-45.5752,-72.0662,15.97,36,40,4.63,CL,1676227296
222,kendari,-3.945,122.4989,24.05,94,100,1.1,ID,1676227559
223,sondrio,46.169,9.8692,9.73,48,1,1.87,IT,1676227559
224,kitoy,52.6,103.9,-21.51,100,54,1.18,RU,1676227559
225,pangnirtung,66.1451,-65.7125,-34.0,37,0,1.03,CA,1676227560
226,kuching,1.55,110.3333,26.12,93,20,0.51,MY,1676227560
227,saint-pierre,-21.3393,55.4781,25.82,73,0,2.57,RE,1676227620
228,komsomolskiy,40.4272,71.7189,-1.6,80,73,3.09,UZ,1676227621
229,quatre cocos,-20.2078,57.7625,26.06,70,17,7.43,MU,1676227621
230,poyarkovo,49.6,128.6833,-28.07,100,100,1.47,RU,1676227621
231,jalu,29.0331,21.5482,12.6,44,66,3.67,LY,1676227622
232,rockhampton,-23.3833,150.5,24.94,83,75,2.57,AU,1676227605
233,miri,4.4148,114.0089,24.08,94,20,1.54,MY,1676227622
234,butaritari,3.0707,172.7902,26.49,82,87,5.48,KI,1676227623
235,cururupu,-1.8283,-44.8683,29.47,63,50,3.15,BR,1676227623
236,bubaque,11.2833,-15.8333,23.99,74,4,6.27,GW,1676227623
237,barpeta,26.3167,91.0,16.74,73,10,5.18,IN,1676227624
238,bialystok,53.1333,23.15,-0.21,82,19,1.79,PL,1676227624
239,moranbah,-22.0016,148.0466,23.44,74,8,5.07,AU,1676227625
240,francistown,-21.17,27.5079,26.36,46,99,6.37,BW,1676227625
241,nizhniy mamon,50.1937,40.5083,-5.42,94,98,6.25,RU,1676227626
242,bucksport,44.5737,-68.7956,6.73,49,18,0.45,US,1676227360
243,tuy hoa,13.0833,109.3,22.47,93,100,1.55,VN,1676227626
244,petropavlovsk-kamchatskiy,53.0452,158.6483,-20.67,71,0,5.0,RU,1676227507
245,port blair,11.6667,92.75,24.02,83,63,0.51,IN,1676227627
246,sendhwa,21.6833,75.1,20.45,23,0,2.14,IN,1676227627
247,palimbang,6.2106,124.1894,24.95,84,100,0.48,PH,1676227628
248,kudahuvadhoo,2.6708,72.8944,26.72,67,0,5.08,MV,1676227628
249,sirajganj,24.45,89.7167,19.45,49,0,3.82,BD,1676227628
250,balykshi,47.0667,51.8667,-7.0,93,40,6.0,KZ,1676227629
251,zemio,5.0314,25.1361,29.16,22,86,1.18,CF,1676227629
252,nagornyy,52.7959,83.5498,-6.98,94,100,4.7,RU,1676227630
253,iqaluit,63.7506,-68.5145,-30.15,67,20,3.09,CA,1676227630
254,saint-marc-des-carrieres,46.6834,-72.0491,2.04,64,100,2.57,CA,1676227630
255,anloga,5.7947,0.8973,28.19,80,10,6.38,GH,1676227631
256,ketchikan,55.3422,-131.6461,5.58,92,100,3.64,US,1676227631
257,tilichiki,60.4667,166.1,-20.23,87,100,4.1,RU,1676227631
258,khomutovo,52.4658,104.4025,-21.66,98,36,1.49,RU,1676227632
259,huilong,31.8111,121.655,6.63,94,100,7.68,CN,1676227632
260,talnakh,69.4865,88.3972,-12.71,93,100,8.01,RU,1676227632
261,egvekinot,66.3167,-179.1667,-25.95,86,100,4.28,RU,1676227633
262,clyde river,70.4692,-68.5914,-36.87,61,0,1.03,CA,1676227633
263,alice springs,-23.7,133.8833,22.75,38,0,3.6,AU,1676227634
264,san carlos de bariloche,-41.1456,-71.3082,18.86,45,75,9.26,AR,1676227618
265,adre,13.4667,22.2,24.07,15,7,6.01,TD,1676227634
266,jacareacanga,-6.2222,-57.7528,27.67,90,62,1.07,BR,1676227634
267,muros,42.7762,-9.0603,11.22,61,100,1.55,ES,1676227635
268,quebradillas,18.4738,-66.9385,29.27,70,1,5.36,PR,1676227635
269,toora-khem,52.4675,96.11,-26.82,100,99,0.52,RU,1676227635
270,kabompo,-13.5927,24.2008,19.37,81,100,1.43,ZM,1676227637
271,izhma,65.0083,53.9113,-13.33,95,66,3.39,RU,1676227638
272,malaya vishera,58.8454,32.2222,-2.79,96,100,4.82,RU,1676227638
273,linxia,35.6003,103.2064,-4.95,93,100,2.15,CN,1676227699
274,ciro marina,39.3732,17.126,10.93,65,89,9.3,IT,1676227699
275,viedma,-40.8135,-62.9967,33.41,17,0,3.36,AR,1676227699
276,pyinmana,19.7333,96.2167,18.39,38,0,1.86,MM,1676227700
277,kirakira,-10.4544,161.9205,26.86,84,99,2.78,SB,1676227700
278,bhag,29.0415,67.8239,17.35,16,15,1.69,PK,1676227700
279,bambous virieux,-20.3428,57.7575,26.14,69,40,3.09,MU,1676227701
280,poum,-20.2333,164.0167,25.44,64,99,6.07,NC,1676227701
281,yulara,-25.2406,130.9889,29.07,23,7,6.68,AU,1676227702
282,lebu,-37.6167,-73.65,19.09,66,12,4.49,CL,1676227693
283,nabire,-3.3667,135.4833,23.65,94,99,1.41,ID,1676227702
284,pathardi,19.1667,75.1833,21.62,28,4,2.8,IN,1676227702
285,sao joao da barra,-21.6403,-41.0511,30.05,87,100,5.83,BR,1676227703
286,maniitsoq,65.4167,-52.9,-20.49,89,15,3.7,GL,1676227703
287,ures,29.4333,-110.4,24.33,15,25,8.41,MX,1676227570
288,vila franca do campo,37.7167,-25.4333,16.23,84,67,3.55,PT,1676227704
289,severnyy,50.677,36.5532,-4.98,74,75,8.0,RU,1676227704
290,abnub,27.2696,31.1511,14.12,40,95,3.79,EG,1676227704
291,namibe,-15.1961,12.1522,23.35,78,0,6.69,AO,1676227705
292,sol-iletsk,51.1631,54.9918,-11.76,92,95,3.81,RU,1676227705
293,nioro,13.35,-15.75,34.53,15,100,2.28,GM,1676227706
294,zhigansk,66.7697,123.3711,-39.59,97,23,4.4,RU,1676227706
295,sisimiut,66.9395,-53.6735,-26.58,91,12,2.74,GL,1676227707
296,murgab,37.4966,61.9714,6.93,65,100,5.14,TM,1676227707
297,winburg,-28.518,27.0093,19.87,59,47,1.69,ZA,1676227707
298,denpasar,-8.65,115.2167,25.81,100,75,9.26,ID,1676227596
299,malakal,9.5334,31.6605,30.91,21,12,3.23,SS,1676227708
300,saldanha,-33.0117,17.9442,18.4,92,0,6.4,ZA,1676227708
301,juneau,58.3019,-134.4197,4.01,100,100,2.54,US,1676227472
302,lusambo,-4.9667,23.45,21.7,98,100,0.43,CD,1676227709
303,san juan bautista,-14.0108,-75.7358,29.36,51,100,5.56,PE,1676227709
304,porto novo,6.4965,2.6036,28.06,78,7,3.7,BJ,1676227710
305,meulaboh,4.1363,96.1285,24.61,88,100,2.01,ID,1676227710
306,goderich,43.7501,-81.7165,3.18,65,0,4.63,CA,1676227710
307,kampene,-3.6,26.6667,21.57,90,100,0.91,CD,1676227711
308,kroya,-7.6331,109.2461,24.78,84,100,1.08,ID,1676227711
309,alekseyevka,50.6309,38.6903,-5.26,92,100,8.15,RU,1676227712
310,chokurdakh,70.6333,147.9167,-33.8,95,100,1.11,RU,1676227712
311,freeport,40.6576,-73.5832,9.32,51,0,2.57,US,1676227587
312,gao,16.6362,1.637,27.67,13,0,5.16,ML,1676227713
313,balsas,-7.5325,-46.0356,34.36,30,16,2.59,BR,1676227713
314,tete,-16.1564,33.5867,25.08,100,40,0.0,MZ,1676227713
315,codcod,10.4581,123.2222,18.79,94,89,2.96,PH,1676227714
316,dumas,35.8656,-101.9732,19.23,15,0,7.2,US,1676227714
317,abu dhabi,24.4667,54.3667,22.06,60,0,1.54,AE,1676227624
318,lima,-12.0432,-77.0282,26.14,65,0,7.72,PE,1676227500
319,koutsouras,35.0339,25.9469,10.62,51,10,4.2,GR,1676227715
320,faanui,-16.4833,-151.75,27.45,75,100,4.94,PF,1676227715
321,shirokiy,49.758,129.523,-28.57,100,62,1.56,RU,1676227715
322,seoul,37.5683,126.9778,5.66,73,75,2.06,KR,1676227552
323,buin,-33.7333,-70.75,33.02,14,0,6.07,CL,1676227776
324,lorengau,-2.0226,147.2712,27.2,81,100,3.0,PG,1676227776
325,bemidji,47.4736,-94.8803,5.05,60,0,3.6,US,1676227777
326,antalaha,-14.9003,50.2788,23.77,91,8,2.78,MG,1676227777
327,presidencia roque saenz pena,-26.7852,-60.4388,41.41,18,0,4.5,AR,1676227778
328,verkhnyaya inta,65.9811,60.3094,-7.77,83,100,8.77,RU,1676227779
329,belyy yar,53.6039,91.3903,-23.06,84,100,0.0,RU,1676227779
330,salalah,17.0151,54.0924,24.05,53,0,1.03,OM,1676227780
331,jodhpur,26.2867,73.03,16.12,17,0,3.89,IN,1676227780
332,tabuk,17.4189,121.4443,19.61,94,85,1.86,PH,1676227780
333,manchester,53.4809,-2.2374,7.91,74,75,2.06,GB,1676227781
334,arraial do cabo,-22.9661,-42.0278,29.98,74,75,3.6,BR,1676227781
335,rognan,67.0953,15.3878,5.08,88,100,14.95,NO,1676227578
336,byron bay,-28.65,153.6167,23.86,85,72,1.54,AU,1676227671
337,pacific grove,36.6177,-121.9166,14.12,71,0,2.68,US,1676227782
338,prince rupert,54.3161,-130.3201,8.05,93,100,5.14,CA,1676227782
339,naryan-mar,67.6713,53.087,-6.83,93,100,6.82,RU,1676227782
340,victoria,22.2855,114.1577,22.19,96,53,1.79,HK,1676227768
341,hofn,64.2539,-15.2082,1.8,97,100,3.88,IS,1676227783
342,skjervoy,70.0311,20.9714,2.0,82,100,20.32,NO,1676227783
343,dutse,11.7594,9.3392,24.4,14,0,4.4,NG,1676227784
344,necochea,-38.5473,-58.7368,27.32,48,75,7.33,AR,1676227784
345,hue,16.4667,107.6,25.06,88,20,1.03,VN,1676227509
346,margate,51.3813,1.3862,7.72,78,1,1.34,GB,1676227785
347,gat,31.61,34.7642,11.38,77,77,1.23,IL,1676227785
348,santa lucia,27.9117,-15.5407,15.52,68,95,3.09,ES,1676227627
349,santarem,-2.4431,-54.7083,30.07,74,75,6.17,BR,1676227785
350,paracuru,-3.41,-39.0306,28.39,62,74,5.95,BR,1676227786
351,stavern,59.0,10.0333,6.16,83,100,3.95,NO,1676227786
352,rio grande,-32.035,-52.0986,34.06,55,0,6.42,BR,1676227787
353,severo-kurilsk,50.6789,156.125,-8.03,63,96,1.7,RU,1676227787
354,trinidad,-14.8333,-64.9,29.99,74,75,7.72,BO,1676227787
355,henties bay,-22.116,14.2845,19.35,83,0,4.02,NA,1676227788
